$type,id,url,commonName,placeType,lat,lon
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_136,/Place/BikePoints_136,"Queen Victoria Street, St. Paul's",BikePoint,51.511961,-0.097441
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_138,/Place/BikePoints_138,"Green Street, Mayfair",BikePoint,51.512276,-0.157436
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_139,/Place/BikePoints_139,"Lambeth Road, Vauxhall",BikePoint,51.494881,-0.117974
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_140,/Place/BikePoints_140,"Finsbury Square , Moorgate",BikePoint,51.520962,-0.085634
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_141,/Place/BikePoints_141,"Chapel Place, Marylebone",BikePoint,51.515308,-0.147203
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_142,/Place/BikePoints_142,"West Cromwell Road, Earl's Court",BikePoint,51.493724,-0.198286
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_143,/Place/BikePoints_143,"Pont Street, Knightsbridge",BikePoint,51.496886,-0.161203
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_144,/Place/BikePoints_144,"Kennington Cross, Kennington",BikePoint,51.48894,-0.111435
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_145,/Place/BikePoints_145,"Ilchester Place, Kensington",BikePoint,51.500743,-0.202759
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_146,/Place/BikePoints_146,"Vauxhall Bridge , Pimlico",BikePoint,51.488365,-0.129361
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_147,/Place/BikePoints_147,"Portugal Street, Holborn",BikePoint,51.514943,-0.116146
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_148,/Place/BikePoints_148,"Tachbrook Street, Victoria",BikePoint,51.492111,-0.138364
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_149,/Place/BikePoints_149,"Kennington Road Post Office, Oval",BikePoint,51.484788,-0.110683
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_150,/Place/BikePoints_150,"Holy Trinity Brompton, Knightsbridge",BikePoint,51.497056,-0.168917
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_151,/Place/BikePoints_151,"Chepstow Villas, Notting Hill",BikePoint,51.512136,-0.201554
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_152,/Place/BikePoints_152,"Hampton Street, Walworth",BikePoint,51.49217,-0.101536
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_153,/Place/BikePoints_153,"Bayswater Road, Hyde Park",BikePoint,51.511933,-0.174411
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_154,/Place/BikePoints_154,"Waterloo Station 3, Waterloo",BikePoint,51.503791,-0.112824
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_155,/Place/BikePoints_155,"Lexham Gardens, Kensington",BikePoint,51.495866,-0.191933
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_156,/Place/BikePoints_156,"New Kent Road, The Borough",BikePoint,51.494436,-0.092921
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_157,/Place/BikePoints_157,"Wright's Lane, Kensington",BikePoint,51.500397,-0.193068
